,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,petawawa,45.9001,-77.3328,67.03,98,93,4.29,CA,1661830664
36,bluff,-46.6,168.3333,57.79,73,91,4.9,NZ,1661830678
37,hithadhoo,-0.6,73.0833,80.91,72,93,13.27,MV,1661830678
38,ostrovnoy,68.0531,39.5131,46.09,75,99,21.39,RU,1661830678
39,kuryk,43.2,51.65,82.87,28,0,11.27,KZ,1661830679
40,khatanga,71.9667,102.5,44.91,73,100,10.0,RU,1661830679
41,camalu,30.85,-116.0667,70.27,83,9,9.08,MX,1661830679
42,albany,42.6001,-73.9662,79.21,75,0,5.93,US,1661830301
43,leningradskiy,69.3833,178.4167,35.44,92,100,7.09,RU,1661830680
44,vestmanna,62.1564,-7.1664,49.12,81,100,10.36,FO,1661830680
45,presque isle,46.6811,-68.0159,72.03,83,20,6.91,US,1661830487
46,hermanus,-34.4187,19.2345,46.8,60,20,18.16,ZA,1661830680
47,atuona,-9.8,-139.0333,76.93,75,16,23.24,PF,1661830681
48,coolum beach,-26.5333,153.1,71.11,73,100,8.34,AU,1661830498
49,lebedinyy,58.5167,125.5167,52.45,67,88,9.13,RU,1661830681
50,jesus maria,-30.9815,-64.0942,34.81,40,2,9.08,AR,1661830682
51,turukhansk,65.8167,87.9833,45.12,53,92,9.08,RU,1661830682
52,san cristobal,7.7669,-72.225,75.38,83,47,1.3,VE,1661830682
53,victoria,22.2855,114.1577,90.97,77,9,5.99,HK,1661830601
54,daru,-9.0763,143.2092,82.06,80,92,12.33,PG,1661830683
55,acapulco,16.8634,-99.8901,80.42,78,40,5.75,MX,1661830683
56,puerto ayora,-0.7393,-90.3518,69.55,87,48,5.01,EC,1661830683
57,marsa matruh,31.3525,27.2453,75.4,83,40,8.05,EG,1661830684
58,ponta delgada,37.7333,-25.6667,71.51,83,20,3.44,PT,1661830684
59,chokurdakh,70.6333,147.9167,50.09,50,13,10.4,RU,1661830684
60,sitka,57.0531,-135.33,60.69,77,75,5.75,US,1661830685
61,sim,54.993,57.6982,70.2,56,25,1.92,RU,1661830685
62,vao,-22.6667,167.4833,69.49,62,34,19.44,NC,1661830685
63,lompoc,34.6391,-120.4579,67.01,74,0,5.75,US,1661830686
64,nikolskoye,59.7035,30.7861,61.88,80,100,10.54,RU,1661830686
65,chumikan,54.7183,135.315,69.96,53,93,16.24,RU,1661830686
66,kavieng,-2.5744,150.7967,83.48,73,30,10.58,PG,1661830687
67,hambantota,6.1241,81.1185,84.54,79,20,11.5,LK,1661830687
68,brookings,44.3114,-96.7984,65.37,73,0,7.65,US,1661830687
69,kotelnich,58.3089,48.348,67.37,53,100,5.57,RU,1661830688
70,lebu,-37.6167,-73.65,49.03,88,100,2.1,CL,1661830688
71,port-gentil,-0.7193,8.7815,75.27,85,96,13.87,GA,1661830688
72,east london,-33.0153,27.9116,49.14,81,0,11.5,ZA,1661830689
73,kashi,39.4547,75.9797,69.01,64,0,6.71,CN,1661830689
74,taksimo,56.3444,114.8794,48.15,77,99,10.31,RU,1661830690
75,thompson,55.7435,-97.8558,51.96,82,20,5.75,CA,1661830690
76,la ronge,55.1001,-105.2842,61.05,63,20,1.14,CA,1661830690
77,george,-33.963,22.4617,44.15,87,40,3.44,ZA,1661830691
78,ribeira grande,38.5167,-28.7,74.3,87,13,3.2,PT,1661830691
79,samana,19.2056,-69.3369,78.26,92,31,4.76,DO,1661830691
80,havre,49.5833,0.3333,60.57,77,0,10.36,FR,1661830692
81,kapoeta,4.7717,33.5903,71.26,80,66,2.37,SS,1661830692
82,santa cruz,-17.8,-63.1667,67.46,22,75,16.11,BO,1661830692
83,ilo,-17.6394,-71.3375,58.87,84,43,4.83,PE,1661830693
84,mahemdavad,22.8333,72.7667,88.05,65,17,3.24,IN,1661830693
85,kodiak,57.79,-152.4072,60.31,77,40,4.61,US,1661830517
86,zabaykalsk,49.6333,117.3167,66.51,20,0,16.53,RU,1661830694
87,esperance,-33.8667,121.9,59.56,52,3,2.75,AU,1661830694
88,wanning,18.8003,110.3967,87.6,64,9,4.07,CN,1661830694
89,santa ines,-3.6667,-45.38,72.05,89,10,3.33,BR,1661830695
90,petropavlovsk-kamchatskiy,53.0452,158.6483,64.99,55,75,13.42,RU,1661830695
91,bambous virieux,-20.3428,57.7575,67.21,94,40,3.44,MU,1661830695
92,zeya,53.75,127.2667,63.73,72,100,2.71,RU,1661830696
93,bredasdorp,-34.5322,20.0403,54.05,47,91,14.2,ZA,1661830696
94,tsubata,36.6667,136.7333,88.21,62,84,4.14,JP,1661830696
95,jamestown,42.097,-79.2353,72.52,66,20,10.36,US,1661830696
96,ponta do sol,32.6667,-17.1,70.43,73,3,4.97,PT,1661830697
97,bose,45.4612,8.0137,71.19,90,34,5.35,IT,1661830697
98,lasa,46.6166,10.7002,63.48,86,26,2.62,IT,1661830697
99,rio gallegos,-51.6226,-69.2181,46.45,66,40,3.44,AR,1661830698
100,yellowknife,62.456,-114.3525,54.12,87,75,3.44,CA,1661830579
101,sabang,5.8933,95.3214,81.01,76,100,10.13,ID,1661830698
102,tokur,53.1333,132.9,58.96,75,100,8.34,RU,1661830699
103,palmer,42.1584,-72.3287,74.57,78,20,10.36,US,1661830699
104,tasiilaq,65.6145,-37.6368,46.56,95,100,28.34,GL,1661830700
105,saint george,37.1041,-113.5841,95.59,22,0,6.91,US,1661830700
106,port elizabeth,-33.918,25.5701,52.09,75,0,8.05,ZA,1661830700
107,new norfolk,-42.7826,147.0587,54.91,89,100,1.07,AU,1661830700
108,cherskiy,68.75,161.3,52.23,47,20,15.32,RU,1661830701
109,laguna,38.421,-121.4238,84.4,51,0,9.22,US,1661830701
110,caravelas,-17.7125,-39.2481,70.29,72,79,18.72,BR,1661830702
111,norman wells,65.282,-126.8329,64.44,59,75,6.91,CA,1661830702
112,castro,-24.7911,-50.0119,40.41,91,100,8.72,BR,1661830702
113,mnogovershinnyy,53.9353,139.9242,69.49,49,18,8.32,RU,1661830703
114,avarua,-21.2078,-159.775,77.05,73,44,8.05,CK,1661830703
115,salalah,17.0151,54.0924,77.09,88,75,6.91,OM,1661830703
116,isangel,-19.55,169.2667,74.7,66,63,14.83,VU,1661830704
117,pevek,69.7008,170.3133,39.31,75,68,11.1,RU,1661830704
118,faya,18.3851,42.4509,62.71,29,0,4.9,SA,1661830704
119,talnakh,69.4865,88.3972,45.21,94,95,6.04,RU,1661830705
120,bay-khaak,51.1667,94.5,66.22,29,22,5.06,RU,1661830705
121,holme,56.1138,10.1725,52.95,87,72,6.42,DK,1661830705
122,carutapera,-1.195,-46.02,76.12,88,22,5.35,BR,1661830706
123,luderitz,-26.6481,15.1594,59.16,36,0,4.59,NA,1661830706
124,chkalovskoye,44.8392,133.0436,67.98,81,73,6.44,RU,1661830706
125,orizatlan,21.1833,-98.6167,77.4,87,97,1.95,MX,1661830707
126,biak,-0.9131,122.8766,81.32,77,98,6.22,ID,1661830707
127,buarcos,40.166,-8.8768,60.28,87,2,3.2,PT,1661830708
128,maxixe,-23.8597,35.3472,67.82,100,20,4.61,MZ,1661830708
129,arraial do cabo,-22.9661,-42.0278,64.94,65,100,20.56,BR,1661830708
130,sao filipe,14.8961,-24.4956,78.26,79,88,8.39,CV,1661830709
131,peniche,39.3558,-9.3811,64.56,83,2,1.99,PT,1661830709
132,otjimbingwe,-22.35,16.1333,63.57,27,1,3.44,NA,1661830709
133,khorixas,-20.3667,14.9667,59.45,43,0,2.57,NA,1661830710
134,ayagoz,47.9714,80.4392,71.87,26,0,14.81,KZ,1661830710
135,gamba,-2.65,10.0,73.65,85,100,4.03,GA,1661830710
136,emerald,-23.5333,148.1667,62.35,91,100,3.56,AU,1661830625
137,keetmanshoop,-26.5833,18.1333,51.53,26,0,14.16,NA,1661830711
138,baykit,61.67,96.37,40.26,90,99,12.95,RU,1661830711
139,port blair,11.6667,92.75,86.04,70,75,4.61,IN,1661830596
140,nome,64.5011,-165.4064,48.27,81,100,6.91,US,1661830711
141,inuvik,68.3499,-133.7218,52.66,76,20,3.44,CA,1661830712
142,codrington,-38.2667,141.9667,50.86,72,100,20.29,AU,1661830712
143,abonnema,4.7084,6.7931,75.49,92,74,4.72,NG,1661830713
144,tuatapere,-46.1333,167.6833,55.67,66,90,1.12,NZ,1661830713
145,qaqortoq,60.7167,-46.0333,39.9,88,99,5.64,GL,1661830713
146,dukat,62.55,155.55,45.77,93,100,6.35,RU,1661830714
147,rawson,-43.3002,-65.1023,56.71,32,100,10.76,AR,1661830714
148,zella-mehlis,50.65,10.65,51.71,80,42,2.73,DE,1661830714
149,san rafael del sur,11.8485,-86.4384,76.17,91,83,4.09,NI,1661830714
150,katsuura,35.1333,140.3,79.79,83,91,10.98,JP,1661830715
151,sumbe,-11.2061,13.8437,69.58,92,85,6.04,AO,1661830715
152,sheridan,44.8333,-106.9173,69.93,45,0,1.99,US,1661830715
153,nouadhibou,20.931,-17.0347,75.18,79,48,10.07,MR,1661830716
154,qaanaaq,77.484,-69.3632,26.26,64,0,5.93,GL,1661830716
155,keflavik,64.0049,-22.5624,55.31,100,100,26.46,IS,1661830716
156,alofi,-19.0595,-169.9187,82.29,61,75,9.22,NU,1661830717
157,nishihara,26.1842,127.7558,90.68,75,40,8.05,JP,1661830717
158,itarema,-2.9248,-39.9167,76.93,85,40,14.54,BR,1661830517
159,klaksvik,62.2266,-6.589,50.92,79,32,12.93,FO,1661830718
160,coahuayana,18.7333,-103.6833,76.23,94,71,3.27,MX,1661830718
161,abbeville,50.1,1.8333,62.56,91,99,5.77,FR,1661830718
162,aksu,41.1231,80.2644,75.33,34,0,0.54,CN,1661830719
163,kloulklubed,7.0419,134.2556,88.3,72,60,9.6,PW,1661830719
164,quang ngai,15.1167,108.8,88.95,62,50,4.68,VN,1661830642
165,pamanukan,-6.2842,107.8106,89.92,46,99,4.81,ID,1661830719
166,fatehpur,25.9333,80.8,87.87,67,81,4.72,IN,1661830720
167,severo-kurilsk,50.6789,156.125,55.69,83,100,12.39,RU,1661830720
168,tiksi,71.6872,128.8694,45.01,88,100,6.13,RU,1661830720
169,cidreira,-30.1811,-50.2056,51.98,80,36,5.5,BR,1661830721
170,tokmak,47.2514,35.7058,75.25,39,48,3.31,UA,1661830721
171,sindou,10.6667,-5.1667,71.33,96,96,2.95,BF,1661830721
172,juneau,58.3019,-134.4197,58.21,96,100,5.75,US,1661829906
173,douentza,14.9951,-2.9517,78.8,71,58,4.23,ML,1661830722
174,zambezi,-13.5432,23.1047,57.24,41,0,6.11,ZM,1661830722
175,mitsamiouli,-11.3847,43.2844,75.49,73,40,10.36,KM,1661830723
176,olafsvik,64.8945,-23.7142,55.18,89,66,30.53,IS,1661830723
177,antofagasta,-23.65,-70.4,56.48,76,38,4.36,CL,1661830675
178,shimoda,34.6667,138.95,75.56,78,77,11.39,JP,1661830723
179,gushikawa,26.3544,127.8686,90.63,70,75,8.05,JP,1661830724
180,vanavara,60.34,102.2797,38.5,83,100,16.89,RU,1661830724
181,pangai,-19.8,-174.35,80.71,61,75,6.91,TO,1661830640
182,miyako,39.6367,141.9525,69.73,85,100,7.29,JP,1661830724
183,ginda,30.6945,78.4932,72.0,83,33,3.85,IN,1661830725
184,yulara,-25.2406,130.9889,68.86,24,0,15.64,AU,1661830725
185,mahebourg,-20.4081,57.7,67.24,94,40,3.44,MU,1661830725
186,maningrida,-12.0667,134.2667,90.27,50,8,11.41,AU,1661830726
187,majene,-3.5403,118.9707,82.67,76,63,4.47,ID,1661830726
188,tornio,65.8481,24.1466,42.82,80,100,10.36,FI,1661830726
189,milkovo,54.7167,158.6167,58.87,72,86,16.62,RU,1661830727
190,monte carmelo,-18.7247,-47.4986,65.86,59,53,11.99,BR,1661830727
191,bethel,41.3712,-73.414,75.65,88,0,6.91,US,1661830727
192,sonamura,23.4719,91.2664,89.6,68,29,2.95,IN,1661830728
193,prince rupert,54.3161,-130.3201,60.89,97,100,25.32,CA,1661830575
194,jiaojiang,28.6803,121.4428,99.0,57,29,5.5,CN,1661830728
195,nemuro,43.3236,145.575,68.0,78,86,10.29,JP,1661830446
196,ormara,25.2088,64.6357,79.81,79,99,8.95,PK,1661830729
197,zaraza,9.3503,-65.3245,73.51,96,44,3.58,VE,1661830729
198,cabo san lucas,22.8909,-109.9124,84.06,82,82,6.6,MX,1661830603
199,rio muerto,27.4167,-110.2333,85.12,66,50,4.85,MX,1661830730
200,camocim,-2.9022,-40.8411,75.99,87,42,11.01,BR,1661830730
201,murdochville,48.9583,-65.5006,68.88,90,100,5.46,CA,1661830730
202,la rioja,42.25,-2.5,53.38,75,0,6.24,ES,1661830731
203,nanortalik,60.1432,-45.2371,39.6,89,100,7.25,GL,1661830731
204,zakamensk,50.3741,103.2863,63.81,40,13,5.19,RU,1661830731
205,goshen,41.5823,-85.8344,69.89,89,40,13.8,US,1661830610
206,komsomolskiy,40.4272,71.7189,77.72,25,1,0.0,UZ,1661830732
207,sultanpur,26.2667,82.0667,87.66,65,99,3.42,IN,1661830732
208,nioro,13.35,-15.75,74.21,95,100,12.5,GM,1661830732
209,west wendover,40.7391,-114.0733,83.41,18,0,4.61,US,1661830733
210,kashary,49.04,41.0056,75.02,35,0,2.95,RU,1661830733
211,ancud,-41.8697,-73.8203,43.95,83,100,0.49,CL,1661830733
212,parry sound,45.3501,-80.033,77.05,78,86,8.52,CA,1661830734
213,vanimo,-2.6741,141.3028,85.14,67,39,8.19,PG,1661830734
214,sisimiut,66.9395,-53.6735,41.43,90,30,5.37,GL,1661830734
215,mar del plata,-38.0023,-57.5575,49.87,64,0,14.97,AR,1661830735
216,qingquan,30.4511,115.2559,74.16,83,100,5.7,CN,1661830735
217,la palma,33.8464,-118.0467,80.87,76,0,11.5,US,1661830735
218,kstovo,56.1473,44.1979,67.39,44,96,7.7,RU,1661830555
219,inirida,3.8653,-67.9239,72.1,96,99,2.86,CO,1661830736
220,rock springs,41.5875,-109.2029,73.04,23,0,6.91,US,1661830736
221,hofn,64.2539,-15.2082,53.06,96,100,1.74,IS,1661830678
222,aban,56.67,96.06,49.53,47,22,9.44,RU,1661830737
223,broken hill,-31.95,141.4333,61.23,38,0,14.2,AU,1661830737
224,college,64.8569,-147.8028,62.92,71,75,10.36,US,1661830737
225,asau,46.4333,26.4,63.52,83,94,3.18,RO,1661830738
226,airai,-8.9266,125.4092,77.76,44,23,5.48,TL,1661830738
227,zaysan,47.4667,84.8667,74.91,21,0,7.61,KZ,1661830738
228,provideniya,64.3833,-173.3,46.51,100,100,13.42,RU,1661830739
229,ambilobe,-13.2,49.05,69.01,78,85,3.2,MG,1661830739
230,batemans bay,-35.7167,150.1833,65.1,37,2,12.41,AU,1661830739
231,tual,-5.6667,132.75,80.19,82,68,16.89,ID,1661830740
232,bilma,18.6853,12.9164,90.07,22,96,10.6,NE,1661830740
233,okato,-39.2,173.8833,54.68,56,4,5.1,NZ,1661830740
234,emba,48.8264,58.1442,80.13,25,8,2.13,KZ,1661830741
235,hatta,24.1167,79.6,83.26,76,89,3.36,IN,1661830741
236,kisaran,2.9845,99.6158,84.07,67,100,0.87,ID,1661830741
237,naron,43.5167,-8.1528,63.01,91,1,3.6,ES,1661830742
238,pilar,-9.5972,-35.9567,71.53,94,32,4.32,BR,1661830742
239,murray bridge,-35.1167,139.2667,55.13,52,87,15.99,AU,1661830743
240,gorontalo,0.5412,123.0595,84.15,80,97,1.9,ID,1661830743
241,tilichiki,60.4667,166.1,50.63,87,100,22.3,RU,1661830743
242,constitucion,-35.3333,-72.4167,51.03,95,87,5.95,CL,1661830744
243,birobidzhan,48.8,132.95,63.64,75,99,4.54,RU,1661830744
244,vicksburg,32.3526,-90.8779,80.28,97,0,0.0,US,1661830657
245,san jose,37.3394,-121.895,71.78,71,20,10.36,US,1661830510
246,kaeo,-35.1,173.7833,62.33,65,52,11.32,NZ,1661830745
247,buin,-33.7333,-70.75,66.43,72,6,2.01,CL,1661830745
248,pokhara,28.2333,83.9833,81.14,70,38,3.6,NP,1661830746
249,honningsvag,70.9821,25.9704,42.55,75,75,8.05,NO,1661830746
250,hamilton,39.1834,-84.5333,72.77,95,100,6.91,US,1661830662
251,flinders,-34.5833,150.8552,70.88,56,47,12.37,AU,1661830746
252,atasu,48.6814,71.6433,73.81,20,0,2.71,KZ,1661830747
253,namibe,-15.1961,12.1522,63.55,92,67,2.17,AO,1661830747
254,fortuna,40.5982,-124.1573,59.92,90,0,9.22,US,1661830553
255,abu zabad,12.35,29.25,74.71,76,94,4.72,SD,1661830748
256,avera,33.194,-82.5271,74.55,92,0,5.37,US,1661830748
257,say,13.1007,2.3689,73.96,75,100,6.51,NE,1661830749
258,khash,28.2211,61.2158,78.13,9,11,4.03,IR,1661830749
259,yerevan,40.1811,44.5136,64.56,42,0,1.14,AM,1661830749
260,bilibino,68.0546,166.4372,43.84,71,100,10.11,RU,1661830750
261,khani,41.9563,42.9566,62.17,67,1,3.89,GE,1661830750
262,goma,-1.6792,29.2228,62.15,88,97,3.27,CD,1661830750
263,san patricio,28.017,-97.5169,86.85,81,73,11.72,US,1661830751
264,lavrentiya,65.5833,-171.0,44.51,95,100,5.7,RU,1661830751
265,tari,12.4086,4.4914,72.59,92,100,3.29,NG,1661830751
266,lagoa,39.05,-27.9833,73.06,87,18,3.87,PT,1661830752
267,perth,-31.9333,115.8333,66.67,51,0,8.05,AU,1661830582
268,los llanos de aridane,28.6585,-17.9182,67.75,71,75,10.36,ES,1661830752
269,maua,-23.6678,-46.4614,53.37,90,100,8.86,BR,1661830625
270,kruisfontein,-34.0033,24.7314,45.88,68,87,5.53,ZA,1661830752
271,yumen,40.2833,97.2,77.25,22,22,5.14,CN,1661830753
272,ushumun,52.7833,126.5333,58.24,91,100,5.08,RU,1661830753
273,naples,40.8333,14.25,75.74,82,0,3.44,IT,1661830441
274,guayaramerin,-10.8368,-65.3614,69.6,52,68,3.4,BO,1661830754
275,krasnaya gorbatka,55.8703,41.7641,64.54,72,62,6.85,RU,1661830754
276,abaete,-19.16,-45.4458,63.45,61,67,9.17,BR,1661830754
277,urumqi,43.801,87.6005,79.75,18,0,2.24,CN,1661830747
278,trofors,65.5333,13.4063,46.27,94,87,2.84,NO,1661830755
279,clyde river,70.4692,-68.5914,35.83,93,100,16.11,CA,1661830755
280,kahului,20.8947,-156.47,80.83,76,20,21.85,US,1661830756
281,kara-tyube,44.6336,45.4369,75.4,50,28,1.79,RU,1661830756
282,pangnirtung,66.1451,-65.7125,42.1,63,59,7.02,CA,1661830756
283,abha,18.2164,42.5053,62.42,27,0,0.0,SA,1661830757
284,abu dhabi,24.4667,54.3667,86.02,59,5,11.5,AE,1661830639
285,batticaloa,7.7102,81.6924,84.51,67,84,5.01,LK,1661830757
286,gafanha da encarnacao,40.6181,-8.733,64.02,78,3,4.7,PT,1661830757
287,mawlaik,23.6333,94.4167,89.17,67,89,1.28,MM,1661830758
288,rio grande,-32.035,-52.0986,48.83,73,9,8.32,BR,1661830758
289,northam,51.0333,-4.2167,59.61,84,5,13.09,GB,1661830758
290,shwebo,22.5667,95.7,91.36,58,71,6.44,MM,1661830759
291,mahibadhoo,3.7833,72.9667,79.3,83,87,16.46,MV,1661830759
292,sioux lookout,50.1001,-91.917,60.87,82,100,21.85,CA,1661830760
293,tengushevo,54.7686,42.7189,63.59,82,99,7.43,RU,1661830760
294,beloha,-25.1667,45.05,62.73,78,0,2.98,MG,1661830760
295,pozo colorado,-23.4923,-58.7972,51.44,43,30,5.14,PY,1661830761
296,celestun,20.8667,-90.4,81.43,80,5,13.71,MX,1661830761
297,ajdabiya,30.7554,20.2263,77.52,54,0,4.83,LY,1661830761
298,tirlyanskiy,54.2109,58.5806,67.77,58,21,0.98,RU,1661830762
299,namatanai,-3.6667,152.4333,82.45,76,81,8.08,PG,1661830762
300,joplin,37.0842,-94.5133,71.78,92,0,4.61,US,1661830762
301,khakhea,-24.6895,23.494,54.23,24,0,9.95,BW,1661830763
302,torbay,47.6666,-52.7314,65.39,89,100,16.11,CA,1661830533
303,lagos,6.5833,3.75,75.52,95,97,4.63,NG,1661830763
304,seoul,37.5683,126.9778,65.8,94,100,5.75,KR,1661830763
305,lebork,54.5392,17.7501,60.35,99,99,11.56,PL,1661830764
306,necochea,-38.5473,-58.7368,45.23,58,0,14.25,AR,1661830500
307,san quintin,30.4833,-115.95,69.64,86,25,14.14,MX,1661830764
308,moron,-34.6534,-58.6198,55.15,73,0,7.58,AR,1661830765
309,mali,12.079,-12.2982,57.76,94,97,2.75,GN,1661830765
310,dali,25.7,100.1833,72.05,71,100,4.88,CN,1661830765
311,bathsheba,13.2167,-59.5167,83.01,78,40,16.11,BB,1661830766
312,constantine,36.365,6.6147,78.39,42,1,2.55,DZ,1661830766
313,mafinga,-7.25,35.0667,64.4,59,1,2.64,TZ,1661830766
314,chase,50.8165,-119.6857,72.48,61,48,1.57,CA,1661830500
315,dunda,-8.1167,34.25,59.77,71,1,3.15,TZ,1661830767
316,suntar,62.1444,117.6319,46.22,86,100,11.39,RU,1661830767
317,koubia,11.5833,-11.9,65.08,97,99,4.07,GN,1661830767
318,ayan,56.45,138.1667,60.33,67,13,6.04,RU,1661830768
319,bowling green,36.9903,-86.4436,76.93,85,0,3.44,US,1661830521
320,buala,-8.145,159.5921,84.04,72,100,10.09,SB,1661830768
321,agadez,19.75,10.25,87.31,22,4,9.33,NE,1661830768
322,vagur,61.4732,-6.8119,50.38,81,19,12.66,FO,1661830769
323,forio,40.7342,13.8646,75.42,84,4,1.01,IT,1661830769
324,hasaki,35.7333,140.8333,72.0,84,91,9.84,JP,1661830769
325,palafrugell,41.9174,3.1631,73.71,70,2,5.79,ES,1661830770
326,show low,34.2542,-110.0298,71.89,52,0,3.44,US,1661830584
327,itacare,-14.2775,-38.9967,67.91,91,11,9.75,BR,1661830770
328,arrecife,28.963,-13.5477,73.38,78,0,11.5,ES,1661830770
329,kindu,-2.95,25.95,67.75,98,98,1.25,CD,1661830771
330,sabla,12.7525,4.7077,73.67,88,100,6.17,NG,1661830771
331,bukama,-9.2,25.85,73.35,69,60,1.1,CD,1661830771
332,pyshma,56.9523,63.2513,72.3,52,3,7.9,RU,1661830772
333,pundaguitan,6.3711,126.1689,83.12,72,100,5.88,PH,1661830772
334,danilovka,50.3557,44.1168,74.21,30,39,3.2,RU,1661830772
335,ilulissat,69.2167,-51.1,55.42,44,20,18.41,GL,1661830773
336,saldanha,-33.0117,17.9442,50.05,63,0,17.18,ZA,1661830773
337,severo-yeniseyskiy,60.3725,93.0408,44.8,52,40,11.92,RU,1661830773
338,nokaneng,-19.6667,22.2667,60.58,32,0,6.22,BW,1661830774
339,lazaro cardenas,17.9583,-102.2,78.4,86,74,2.71,MX,1661830774
340,obama,35.4958,135.746,79.95,65,78,6.98,JP,1661830774
341,vostok,46.4856,135.8833,59.2,81,79,2.44,RU,1661830775
342,boyolangu,-8.1181,111.8935,80.15,76,99,10.78,ID,1661830775
343,saint-augustin,51.226,-58.6502,62.89,88,92,11.01,CA,1661830775
344,eyl,7.9803,49.8164,76.98,73,59,18.41,SO,1661830776
345,rock sound,24.9,-76.2,83.86,74,3,15.88,BS,1661830776
346,ouadda,8.0777,22.4007,64.54,98,80,0.76,CF,1661830776
347,atikokan,48.7555,-91.6216,59.0,91,100,13.29,CA,1661830777
348,champoton,19.35,-90.7167,80.58,85,85,5.75,MX,1661830756
349,puerto cabezas,14.0351,-83.3888,78.94,84,100,4.59,NI,1661830777
350,maragogi,-9.0122,-35.2225,71.62,88,25,8.34,BR,1661830778
351,marawi,7.9986,124.2928,81.18,66,78,5.55,PH,1661830778
352,sao joao da barra,-21.6403,-41.0511,64.02,70,81,18.05,BR,1661830778
353,lensk,60.7253,114.9278,48.34,57,95,16.84,RU,1661830779
354,konstantinovka,49.6167,127.9833,73.13,45,42,11.16,RU,1661830779
355,sao gabriel da cachoeira,-0.1303,-67.0892,70.5,99,100,2.19,BR,1661830779
356,puertollano,38.6871,-4.1073,77.16,67,0,2.39,ES,1661830780
357,devils lake,48.1128,-98.8651,60.94,73,0,9.22,US,1661830596
358,sangar,63.9242,127.4739,52.39,84,100,1.7,RU,1661830780
359,portland,45.5234,-122.6762,85.95,48,75,6.91,US,1661830372
360,kitgum,3.2783,32.8867,62.83,95,47,0.67,UG,1661830780
361,pindiga,9.9833,10.9333,68.09,92,82,2.55,NG,1661830781
362,coquimbo,-29.9533,-71.3436,53.33,93,100,6.91,CL,1661830781
363,itoman,26.1247,127.6694,91.42,75,40,8.05,JP,1661830781
364,ouallam,14.3188,2.0866,82.76,66,60,6.89,NE,1661830782
365,karratha,-20.7377,116.8463,80.46,20,70,14.92,AU,1661830782
366,sept-iles,50.2001,-66.3821,63.12,83,100,3.44,CA,1661830516
367,mangrol,21.1167,70.1167,81.75,70,23,3.24,IN,1661830782
368,manta,-0.95,-80.7333,71.38,88,75,9.22,EC,1661830783
369,tecoanapa,16.5167,-98.75,77.18,90,51,6.06,MX,1661830783
370,grandview,38.8858,-94.533,75.85,92,0,9.22,US,1661830610
